@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
254,'2018/05/21 00:15:01:660',4,1334,1710,902,2
255,'2018/05/21 00:15:01:660',4,1338,1706,898,2
256,'2018/05/21 00:15:01:710',4,1339,1710,906,2
257,'2018/05/21 00:15:01:778',4,1336,1708,908,2
258,'2018/05/21 00:15:01:841',4,1333,1705,904,2
259,'2018/05/21 00:15:01:841',4,1335,1697,899,2
260,'2018/05/21 00:15:01:874',4,1334,1691,897,2
261,'2018/05/21 00:15:01:908',4,1332,1689,896,2
262,'2018/05/21 00:15:01:977',4,1333,1696,901,2
263,'2018/05/21 00:15:02:026',4,1330,1691,902,2
264,'2018/05/21 00:15:02:093',4,1335,1691,907,2
265,'2018/05/21 00:15:02:093',4,1336,1699,899,2
266,'2018/05/21 00:15:02:162',4,1338,1710,895,2
267,'2018/05/21 00:15:02:172',4,1342,1716,892,2
268,'2018/05/21 00:15:02:244',4,1338,1689,890,2
269,'2018/05/21 00:15:02:294',4,1334,1643,887,2
270,'2018/05/21 00:15:02:299',4,1332,1588,885,2
271,'2018/05/21 00:15:02:375',4,1335,1554,881,2
272,'2018/05/21 00:15:02:444',4,1333,1544,882,2
273,'2018/05/21 00:15:02:444',4,1335,1527,882,2
274,'2018/05/21 00:15:02:512',4,1334,1509,880,2
275,'2018/05/21 00:15:02:518',4,1332,1532,884,2
276,'2018/05/21 00:15:02:587',4,1332,1565,887,2
277,'2018/05/21 00:15:02:639',4,1335,1574,886,2
278,'2018/05/21 00:15:02:640',4,1338,1570,887,2
279,'2018/05/21 00:15:02:708',4,1343,1557,887,2
280,'2018/05/21 00:15:02:775',4,1345,1547,886,2
281,'2018/05/21 00:15:02:775',4,1344,1516,886,2
282,'2018/05/21 00:15:02:844',4,1345,1499,888,2
283,'2018/05/21 00:15:02:895',4,1341,1496,891,2
284,'2018/05/21 00:15:02:963',4,1340,1487,887,2
285,'2018/05/21 00:15:02:964',4,1338,1497,887,2
286,'2018/05/21 00:15:03:043',4,1343,1491,888,2
287,'2018/05/21 00:15:03:043',4,1348,1495,887,2
288,'2018/05/21 00:15:03:095',4,1348,1501,892,2
289,'2018/05/21 00:15:03:149',4,1351,1522,892,2
